Artist Display Name,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender
Unrecorded  Edgefield District potter,American,1800,1920,
Peleg Armstrong and Erastus Wentworth,American,1814,1814,
John Bell Pottery,American,1848,1880,
George Benton and Levi Stewart,American,1815,1815,
John Crolius,American,1733,1812,
Jonathan Fenton,American,1766,1766,
Newell Harding,American,1796,1862,
T. Johnson,,,9999,
C. A. Lawrence,,,9999,
Beverly Pottery,American,,,
Ralph Stevenson,British,1805,1832,
Enos Wilder,American,,9999,
M. W. and Company,,,9999,
B.(?) A.,American,,9999,
S. A.,American,,9999,
Samuel Kirk,American,1793,1872,
Daniel Fueter Jr.,American,1783,1806,
Lewis Fueter,,1766,1775,
Reading Artistic Glass Works,American,1884,1886,
Joseph Cox,American,1753,1773,
Standish Barry,American,1763,1844,
John Burger,American,1783,1807,
William Cleveland,,1770,1837,
Samuel Post,American,,9999,
James Gaskins,American,1761,1827,
William Hollingshead,American,1723,1808,
James Howell,American,1799,1813,
Richard Humphreys,American,1750,1832,
Richard Lee Jr.,,1775,1858,
Richard Lee,American,1747,1823,
Saunders Pitman,American,1732,1804,
Nathaniel Richardson,,1754,1827,
Roe and Stollenwerck,American,1750,1850,
James D. Stout,American,1802,1839,
Samuel Tingley,American,1759,1796,
I. M.,American,,9999,
James Weekes,American,,9999,
S. Yates,American,1807,1825,
Handel Company,American,1885,1930,
Allen Porter,American,1830,1838,
Dirk Van Erp,American,1862,1933,
Quezal Art Glass and Decorating Company,American,1901,1924,
H. Van Buren Magonigle,American,1867,1935,
Samuel Yellin,"American, born Russian Empire [now Ukraine]",1884,1940,
Jacob Gerritse Lansing,American,1736,1803,
Daniel Crommelin Verplanck,American,,9999,
John Elliott Sr.,American,1713,1791,
Isaac Platt,American,1793,1875,
Cartier,French,1847,9999,
"Charles-Gabriel Sauvage, called Lemire pere",,1741,1827,
Losanti Pottery,,,,
Bauscher Brothers Porcelain Factory,American,,9999,
L. T. Lloyde,American,,9999,
Dorothea Warren O'Hara,American,1873,1972,Female
Olga St. John,,,9999,Female
Rosenthal,German,1876,1920,
John Sawin,,1801,1863,
George W. Dyer,American,,9999,
H. Smith,,,9999,
Terryville Manufacturing Company,American,,9999,
Robert Wellford,American,,9999,
Peter Eby,American,,9999,
Johannes Hoeffer,American,,9999,
William Faden the Younger,British,1749,1836,
Clark Jones,American,,,
François Augustin Caunois,French,1787,1859,
Pierre Simon Benj. Duvivier,French,1730,1819,
Jacques Edouard Gatteaux,French,1788,1881,
Pierre Antoine Montagny,,,9999,
Joseph Arnold Pingret,Belgian,1798,1862,
Pierre Jean David d'Angers,French,1788,1856,
Clark Mills,,,9999,
H. & P.,American,,9999,
Phoenix Furniture Company,,1870,1870,
David Wolcott Kendall,American,1851,1910,
Boardman and Hart,American,1828,1853,
Bertrand Andrieu,French,1761,1822,
Raymond Gayrard,French,1777,1858,
John Bacon the Elder,British,1740,1799,
Jean-Jacques Barre,French,1793,1855,
Armand-Auguste Caqué,French,1793,1881,
Seth Eastman,,1808,1875,
Salathiel Ellis,American,1803,1879,
Joseph Willson,American,,9999,
Moritz Fürst,Hungarian,1782,1882,
Nicolas Marie Gatteaux,French,1751,1832,
Godel & Co. Fine Art,,,9999,
Jean Hardy,,1647,1684,
William H. Key,American,1828,1928,
William Kneass,American,1781,1840,
George Hampden Lovett,American,1824,1894,
James Manley,American,1790,1800,
S. Brooks,,1743,1843,
F. N. Mitchell,,,9999,
Franklin Peale,,1795,1870,
Johann Mathias Reich,American,1768,1833,
Emile Rogat,French,1770,1850,
Maurice Valentin Borrel,French,1804,1882,
B. L. Vett,American,,9999,
F. Vivier,,,9999,
Webb,,,,
Thomas Webb,,1804,1827,
Charles Cushing Wright,American,1796,1854,
Joseph S. and Alfred Wyon,,1700,1900,
William Spohn Baker,American,,9999,
William Hackwood,British,1748,1836,
Wedgwood and Bentley,British,1769,1780,
